,state,Job Title,Experience,Locations,Description,Tags Associated,Dates posted,Scraped date
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
8,nagaland,Regional Manager,5-10 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur", Field level sales experience of atleast 5 years with proven record;Coordinate with SBU ...,regional managercoordinatingbepenetrationserviceteamtravelsales,30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
8,nagaland,Regional Manager,5-10 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur", Field level sales experience of atleast 5 years with proven record;Coordinate with SBU ...,regional managercoordinatingbepenetrationserviceteamtravelsales,30+ Days Agosave,Mon Apr 27
9,nagaland,Territory Manager | Banca | Life Insurance -Nagaland - Other!,5-10 Yrs,Nagaland Other, Should be a GraduateMust have min 4 years of experience into Life Insurance SectorRequi...,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,PREFERRED30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
8,nagaland,Regional Manager,5-10 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur", Field level sales experience of atleast 5 years with proven record;Coordinate with SBU ...,regional managercoordinatingbepenetrationserviceteamtravelsales,30+ Days Agosave,Mon Apr 27
9,nagaland,Territory Manager | Banca | Life Insurance -Nagaland - Other!,5-10 Yrs,Nagaland Other, Should be a GraduateMust have min 4 years of experience into Life Insurance SectorRequi...,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,PREFERRED30+ Days Agosave,Mon Apr 27
10,nagaland,Branch Manager - Agency | Life Insurance - Kohima,5-10 Yrs,Kohima, We have urgent openings for the position of Branch Manager with most of the leading lif...,AgencyTiedbfsiTeam handlingheading branchadvisorscustomer service to salessales,PREFERRED30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
8,nagaland,Regional Manager,5-10 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur", Field level sales experience of atleast 5 years with proven record;Coordinate with SBU ...,regional managercoordinatingbepenetrationserviceteamtravelsales,30+ Days Agosave,Mon Apr 27
9,nagaland,Territory Manager | Banca | Life Insurance -Nagaland - Other!,5-10 Yrs,Nagaland Other, Should be a GraduateMust have min 4 years of experience into Life Insurance SectorRequi...,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,PREFERRED30+ Days Agosave,Mon Apr 27
10,nagaland,Branch Manager - Agency | Life Insurance - Kohima,5-10 Yrs,Kohima, We have urgent openings for the position of Branch Manager with most of the leading lif...,AgencyTiedbfsiTeam handlingheading branchadvisorscustomer service to salessales,PREFERRED30+ Days Agosave,Mon Apr 27
11,nagaland,Circle Manager - Agency | Life Insurance - Kohima,5-10 Yrs,Kohima, We have urgent openings for the position Alwar of Circle Manager with most of the leadi...,AgencyTiedbfsiTeam handlingheading branchadvisorscustomer service to salessales,PREFERRED30+ Days Agosave,Mon Apr 27
0,nagaland,"Territory Sales Officers, (MBA+ 1-2 Years FMCG Sales experience) Assam",2-5 Yrs,"Agartala, Guwahati, Aizawl, Dimapur, Imphal", Male Applicants handling any channel Sales with reputed FMCG / Product selling Companie...,otc product sellingproduct visibilityretail coveragechannel salesgeneral tradeproduct salestelecom salesproduct promotions,5 Days Agosave,Mon Apr 27
1,nagaland,ARM /  RM /  SRM,3-8 Yrs,"Guwahati, Silchar, Tezpur, Aizawl, Dimapur, Tinsukia, Cacher"," ARM / RM / SRM - Guwahati, Silchar, Tezpur, Cacher, Dimapur, Aizawl, Tinsukia Overall r...",Sales officerCASAISOLife InsuranceRelationship ManagerDirect SalesBANCASSURANCECAT,HOT JOB20 Days Agosave,Mon Apr 27
2,nagaland,Marketing Executive - Pharma Sales Executive,0-1 Yrs,"Jalandhar, Delhi, Aurangabad, Ahmedabad, Dimapur, Solapur, Gurgaon, Raipur, Bilaspur, sagar", Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,Pharma Sales ExecutivePharmaManagementMarketing ExecutiveMedical RepresentativeMarketing,3 Days Agosave,Mon Apr 27
3,nagaland,sales and marketing executive,1-6 Yrs,Kohima, Identifies business opportunities by identifying prospects and evaluating their positio...,BankingSales ExecutiveResearchMarketing ExecutiveRecruitment,30+ Days Agosave,Mon Apr 27
4,nagaland,software developer,1-6 Yrs,Kohima," 1-Java, JSP, Servlet, Hibernate, Struts and Angular JS with My-SQL / Postgress as the b...",Ubuntu0RedhatHibernateBackendLinuxJSPAnalytical,30+ Days Agosave,Mon Apr 27
5,nagaland,telecaller,1-6 Yrs,Kohima, Tele calling Client Interaction. B2C co-ordination. Good oral communication skills in E...,BasicCustomer Care ExecutiveB2CBankingTelecallingCustomer supportClient interactionRecruitment,30+ Days Agosave,Mon Apr 27
6,nagaland,Regional Manager,5-10 Yrs,"Chennai, Bhubaneshwar, Jalandhar, Dimapur, Chandigarh, Chandigarh, Dimapur, Bhubaneshwar, Jalandhar, Chennai"," Job Description: •Interacting and building relationships with School Principals , Manag...",regional managercoordinatingbepenetrationserviceteamtravelschool management,30+ Days Agosave,Mon Apr 27
7,nagaland,Regional Manager,5-8 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur"," Job Description: Interacting and building relationships with School Principals, Managem...",ssalesquick learner,30+ Days Agosave,Mon Apr 27
8,nagaland,Regional Manager,5-10 Yrs,"Jodhpur, Chennai, Jalandhar, Bhubaneshwar, Dimapur, Chennai, Dimapur, Bhubaneshwar, Jalandhar, Jodhpur", Field level sales experience of atleast 5 years with proven record;Coordinate with SBU ...,regional managercoordinatingbepenetrationserviceteamtravelsales,30+ Days Agosave,Mon Apr 27
9,nagaland,Territory Manager | Banca | Life Insurance -Nagaland - Other!,5-10 Yrs,Nagaland Other, Should be a GraduateMust have min 4 years of experience into Life Insurance SectorRequi...,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,PREFERRED30+ Days Agosave,Mon Apr 27
10,nagaland,Branch Manager - Agency | Life Insurance - Kohima,5-10 Yrs,Kohima, We have urgent openings for the position of Branch Manager with most of the leading lif...,AgencyTiedbfsiTeam handlingheading branchadvisorscustomer service to salessales,PREFERRED30+ Days Agosave,Mon Apr 27
11,nagaland,Circle Manager - Agency | Life Insurance - Kohima,5-10 Yrs,Kohima, We have urgent openings for the position Alwar of Circle Manager with most of the leadi...,AgencyTiedbfsiTeam handlingheading branchadvisorscustomer service to salessales,PREFERRED30+ Days Agosave,Mon Apr 27
12,nagaland,Territory Manager | Banca | Life Insurance -Dimapur !,5-10 Yrs,Dimapur, Should be a GraduateMust have min 4 years of experience into Life Insurance SectorRequi...,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,PREFERRED30+ Days Agosave,Mon Apr 27
